,OptSeries,Side,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
0,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,35,36,0,100,63,175.0
1,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,36,37,0,100,62,167.56756756756758
2,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,37,38,0,100,61,160.52631578947367
3,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,38,39,0,100,60,153.84615384615384
4,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,39,40,0,100,59,147.5
5,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,40,41,0,100,58,141.46341463414635
6,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,41,42,0,100,57,135.71428571428572
7,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,42,43,0,100,56,130.2325581395349
8,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,43,44,0,100,55,125.0
9,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,44,45,0,100,54,120.0
10,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,45,46,0,100,53,115.21739130434783
11,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,38,39,0,100,60,153.84615384615384
12,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,39,40,0,100,59,147.5
13,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,40,41,0,100,58,141.46341463414635
14,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,41,42,0,100,57,135.71428571428572
15,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,42,43,0,100,56,130.2325581395349
16,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,43,44,0,100,55,125.0
17,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,44,45,0,100,54,120.0
18,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,45,46,0,100,53,115.21739130434783
19,"('US 500', '2021-07-16', '14:20', 4332.75)",short,9,70,31,0,100,-31,-100.0
20,"('US 500', '2021-07-16', '14:20', 4332.75)",short,9,71,30,0,100,-30,-100.0
21,"('US 500', '2021-07-16', '14:20', 4332.75)",short,9,72,29,0,100,-29,-100.0
22,"('US 500', '2021-07-16', '14:20', 4332.75)",short,9,73,28,0,100,-28,-100.0
