,OptSeries,Side,Exits,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
0,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",9,71,72,9,75,2,2.7777777777777777
1,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",9,72,73,9,75,1,1.36986301369863
2,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",9,73,74,9,75,0,0.0
3,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",9,74,75,9,75,-1,-1.3333333333333333
4,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,55,56,8,50,-7,-12.5
5,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,56,57,8,50,-8,-14.035087719298245
6,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,57,58,8,50,-9,-15.517241379310345
7,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,58,59,8,50,-10,-16.949152542372882
8,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,59,60,8,50,-11,-18.333333333333332
9,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,60,61,8,50,-12,-19.672131147540984
10,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,61,62,8,50,-13,-20.967741935483872
11,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,62,63,8,50,-14,-22.22222222222222
12,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,63,64,8,50,-15,-23.4375
13,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,64,65,8,50,-16,-24.615384615384617
14,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,65,66,8,50,-17,-25.757575757575758
15,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,66,67,8,50,-18,-26.865671641791046
16,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,67,68,8,50,-19,-27.941176470588236
17,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,68,69,8,50,-20,-28.985507246376812
18,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,69,70,8,50,-21,-30.0
19,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,70,71,8,50,-22,-30.985915492957748
20,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,71,72,8,50,-23,-31.944444444444443
21,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,72,73,8,50,-24,-32.87671232876713
22,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,73,74,8,50,-25,-33.78378378378378
23,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",8,74,75,8,50,-26,-34.666666666666664
24,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,55,56,7,50,-7,-12.5
25,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,56,57,7,50,-8,-14.035087719298245
26,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,57,58,7,50,-9,-15.517241379310345
27,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,58,59,7,50,-10,-16.949152542372882
28,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,59,60,7,50,-11,-18.333333333333332
29,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,60,61,7,50,-12,-19.672131147540984
30,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,61,62,7,50,-13,-20.967741935483872
31,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",7,62,63,7,50,-14,-22.22222222222222
32,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,55,56,6,50,-7,-12.5
33,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,56,57,6,50,-8,-14.035087719298245
34,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,57,58,6,50,-9,-15.517241379310345
35,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,58,59,6,50,-10,-16.949152542372882
36,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,59,60,6,50,-11,-18.333333333333332
37,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,60,61,6,50,-12,-19.672131147540984
38,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,61,62,6,50,-13,-20.967741935483872
39,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,62,63,6,50,-14,-22.22222222222222
40,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(75, 50)",6,63,64,6,50,-15,-23.4375
